Variable Name,Variable Description,Component,Data File Description,flag_1999,flag_2000,flag_2001,flag_2002,flag_2003,flag_2004,flag_2005,flag_2006,flag_2007,flag_2008,flag_2009,flag_2010,flag_2011,flag_2012,flag_2013,flag_2014,flag_2015,flag_2016,num_flags,keep
DMDBORN,In what country {were you/was SP} born?,Demographics,Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8,1
DMDBORN,In what country {were you/was SP} born?,Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,16,1
DMDBORN2,In what country {were you/was SP} born?,Demographics,California - Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,8,1
DMDBORN2,In what country {were you/was SP} born?,Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,4,1
DMDBORN4,In what country {were you/was SP} born?,Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1
DMDBORN4,In what country {were you/was SP} born?,Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1
DMDCITZN,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.],Demographics,California - Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,16,1
DMDCITZN,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.],Demographics,Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,14,1
DMDCITZN,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.],Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1
DMDCITZN,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.],Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,16,1
DMDEDUC,(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,Demographics,Demographic Variables & Sample Weights,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
DMDEDUC1,(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
DMDEDUC2,(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,Demographics,Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,12,1
DMDEDUC2,(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
DMDEDUC2,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,Demographics,California - Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,16,1
DMDEDUC2,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1
DMDEDUC2,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1
DMDEDUC2,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,16,1
DMDEDUC3,(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,Demographics,Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,12,1
DMDEDUC3,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,Demographics,California - Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,16,1
DMDEDUC3,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1
DMDEDUC3,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1
DMDEDUC3,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,16,1
DMDFMSIZ,Total number of people in the Family,Demographics,California - Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,16,1
DMDFMSIZ,Total number of people in the Family,Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,8,1
DMDFMSIZ,Total number of people in the Family,Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1
DMDFMSIZ,Total number of people in the Family,Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,16,1
DMDHHSIZ,Total number of people in the Household,Demographics,California - Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,16,1
DMDHHSIZ,Total number of people in the Household,Demographics,Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,14,1
DMDHHSIZ,Total number of people in the Household,Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1
DMDHHSIZ,Total number of people in the Household,Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,16,1
DMDHHSZA,Number of children aged 5 years or younger in the household,Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1
DMDHHSZA,Number of children aged 5 years or younger in the household,Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1
DMDHHSZB,Number of children aged 6-17 years old in the household,Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1
DMDHHSZB,Number of children aged 6-17 years old in the household,Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1
DMDHHSZE,Number of adults aged 60 years or older in the household,Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1
DMDHHSZE,Number of adults aged 60 years or older in the household,Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1
DMDHRAGE,Age in years of the household reference person at the time of HH screening. Individuals 80 and over are topcoded at 80 years of age.,Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,4,1
DMDHRAGE,Age in years of the household reference person at the time of HH screening. Individuals 85 and over are topcoded at 85 years of age.,Demographics,Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8,1
DMDHRAGE,HH reference person's age in years,Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1
DMDHRAGE,HH reference person's age in years,Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1
DMDHRBR2,In what country {were you/was NON-SP Head} born?,Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,4,1
DMDHRBR4,HH reference person's country of birth,Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
DMDHRBR4,HH reference person's country of birth,Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0
DMDHRBRN,In what country {were you/was NON-SP Head} born?,Demographics,Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8,1
DMDHREDU,HH reference person's education level,Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
DMDHREDU,HH reference person's education level,Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0
DMDHREDU,What is the highest grade or level of school {you have/NON_SP HEAD has} received?,Demographics,Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,12,1
DMDHRGND,Gender of the household reference person,Demographics,Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,12,1
DMDHRGND,HH reference person's gender,Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1
DMDHRGND,HH reference person's gender,Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1
DMDHRMAR,HH reference person's marital status,Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
DMDHRMAR,HH reference person's marital status,Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0
DMDHRMAR,Marital Status of household reference person,Demographics,Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,12,0
DMDHSEDU,HH reference person's spouse's education level,Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
DMDHSEDU,HH reference person's spouse's education level,Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0
DMDHSEDU,What is the highest grade or level of school {you have/NON-SP SPOUSE has completed or the highest degree {you have/he/she has} received,Demographics,Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,12,1
DMDMARTL,Marital Status,Demographics,Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,12,0
DMDMARTL,Marital Status,Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
DMDMARTL,Marital status,Demographics,California - Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,16,0
DMDMARTL,Marital status,Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
DMDMARTL,Marital status,Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0
DMDMARTL,Marital status,Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,16,0
DMDSCHOL,{Are you/Is SP} now . . .,Demographics,Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,12,0
DMDSCHOL,{Are you/Is SP} now . . .,Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
DMDYRSUS,Length of time SP has been in the US.,Demographics,Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,12,1
DMDYRSUS,Length of time SP has been in the US.,Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
DMDYRSUS,Length of time the participant has been in the US.,Demographics,California - Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,16,1
DMDYRSUS,Length of time the participant has been in the US.,Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1
DMDYRSUS,Length of time the participant has been in the US.,Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1
DMDYRSUS,Length of time the participant has been in the US.,Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,16,1
DMQADFC,"Did {you/SP} ever serve in a foreign country during a time of armed conflict or on a humanitarian or peace-keeping mission? (This would include National Guard or reserve or active duty monitoring or conducting peace keeping operations in Bosnia and Kosovo, in the Sinai between Egypt and Israel, or in response to the 2004 tsunami or Haiti in 2010.)",Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
DMQADFC,"Did {you/SP} ever serve in a foreign country during a time of armed conflict or on a humanitarian or peace-keeping mission? (This would include National Guard or reserve or active duty monitoring or conducting peace keeping operations in Bosnia and Kosovo, in the Sinai between Egypt and Israel, or in response to the 2004 tsunami or Haiti in 2010.)",Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0
DMQMILIT,Did {you/SP} ever serve in the Armed Forces of the United States?,Demographics,Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,12,0
DMQMILIT,Did {you/SP} ever serve in the Armed Forces of the United States?,Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
DMQMILIZ,"{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does not include training for the Reserves or National Guard, but does include activation, for service in the U.S. or in a foreign country, in support of military or humanitarian operations.)",Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
DMQMILIZ,"{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does not include training for the Reserves or National Guard, but does include activation, for service in the U.S. or in a foreign country, in support of military or humanitarian operations.)",Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0
FIAINTRP,Was an interpreter used to conduct the Family interview?,Demographics,Demographic Variables & Sample Weights,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,10,0
FIAINTRP,Was an interpreter used to conduct the Family interview?,Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0
FIALANG,Language of the Family Interview Instrument,Demographics,Demographic Variables & Sample Weights,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,10,0
FIALANG,Language of the Family Interview Instrument,Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0
FIAPROXY,Was a Proxy respondent used in conducting the Family Interview?,Demographics,Demographic Variables & Sample Weights,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,10,0
FIAPROXY,Was a Proxy respondent used in conducting the Family Interview?,Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0
INDFMIN2,Total family income (reported as a range value in dollars),Demographics,California - Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,8,1
INDFMIN2,Total family income (reported as a range value in dollars),Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,6,1
INDFMIN2,Total family income (reported as a range value in dollars),Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1
INDFMIN2,Total family income (reported as a range value in dollars),Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,8,1
INDFMINC,Total family income (reported as a range value in dollars),Demographics,California - Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8,1
INDFMINC,Total family income (reported as a range value in dollars),Demographics,Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8,1
INDFMINC,Total family income (reported as a range value in dollars),Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8,1
INDFMPIR,A ratio of family income to poverty guidelines.,Demographics,California - Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,16,1
INDFMPIR,A ratio of family income to poverty guidelines.,Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1
INDFMPIR,A ratio of family income to poverty guidelines.,Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1
INDFMPIR,A ratio of family income to poverty guidelines.,Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,16,1
INDFMPIR,A ratio of family income to poverty threshold,Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,4,1
INDFMPIR,Poverty income ratio (PIR) - a ratio of family income to poverty threshold,Demographics,Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8,1
INDFMPIR,Poverty income ratio (PIR) - a ratio of family income to poverty threshold,Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
INDHHIN2,Total household income (reported as a range value in dollars),Demographics,California - Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,8,1
INDHHIN2,Total household income (reported as a range value in dollars),Demographics,Demographic Variables & Sample Weights,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,6,1
INDHHIN2,Total household income (reported as a range value in dollars),Demographics,Demographic Variables and Sample Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1
INDHHIN2,Total household income (reported as a range value in dollars),Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,8,1
INDHHINC,Total household income (reported as a range value in dollars),Demographics,California - Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8,1
INDHHINC,Total household income (reported as a range value in dollars),Demographics,Demographic Variables & Sample Weights,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8,1
INDHHINC,Total household income (reported as a range value in dollars),Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8,1
LAT,Latitude (Decimal),Demographics,"Geocoded Data, NHANES 1999-2016, Census 2000",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,0
LAT,Latitude in decimal format with up to 6 decimal precision,Demographics,"Geocoded Data, NHANES 1999-2016, Census 2000",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,0
LAT,Latitude in decimal format with up to 6 decimal precision,Demographics,"Geocoded Data, NHANES 1999-2016, Census 2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,0
LAT,Latitude in decimal format with up to 6 decimal precision,Demographics,"Geocoded Data, NHANES III, Census 2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Latitude in decimal format with up to 6 decimal precision,Demographics,"Geocoded Data, NHANES III, Census 2010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LATVPSU,Variance unit: PSU variable for variance estimation,Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,16,0
LATVSTRA,Variance unit: stratum variable for variance estimation,Demographics,"Los Angeles County, California - Demographic Variables & Sample Weights",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,16,0
LON,Longitude (Decimal),Demographics,"Geocoded Data, NHANES 1999-2016, Census 2000",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,0
LON,Longitude in decimal format with up to 6 decimal precision,Demographics,"Geocoded Data, NHANES 1999-2016, Census 2000",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,0
LON,Longitude in decimal format with up to 6 decimal precision,Demographics,"Geocoded Data, NHANES 1999-2016, Census 2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,0
LON,Longitude in decimal format with up to 6 decimal precision,Demographics,"Geocoded Data, NHANES III, Census 2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
